RNA	protein	label
ENSMUST00000195547	P45481	1
ENSMUST00000224038	A3KFM7-2	0
ENSMUST00000191796	Q8VBX6	0
ENSMUST00000185283	B2RWS6	1
ENSMUST00000127920	Q8BZN6-2	0
ENSMUST00000146232	Q09XV5	1
ENSMUST00000154632	Q09XV5	1
ENSMUST00000192563	A0A1L1SUH6	0
ENSMUST00000192958	B2RWS6	1
ENSMUST00000208490	Q70FJ1-3	0
ENSMUST00000138077	Q09XV5	1
ENSMUST00000148318	B2RWS6	1
ENSMUST00000187727	Q80U35	0
ENSMUST00000180386	Q01705	1
ENSMUST00000196040	Q09XV5	1
ENSMUST00000181406	Q09XV5	1
ENSMUST00000180670	P45481	1
ENSMUST00000180848	B2RWS6	1
ENSMUST00000222887	H9KV00	0
ENSMUST00000181851	P45481	1
ENSMUST00000208685	B2RWS6	1
ENSMUST00000204271	Q91ZI0	0
ENSMUST00000176703	H9KV15	0
ENSMUST00000222438	E9Q411	0
ENSMUST00000054395	Q99MY8	0
ENSMUST00000224326	E9Q526	0
ENSMUST00000167899	B2RWS6	1
ENSMUST00000207552	Q91V24	0
ENSMUST00000193484	B2RWS6	1
ENSMUST00000238514	H7BWZ9	0
ENSMUST00000196492	B2RWS6	1
ENSMUST00000199606	Q01705	1
ENSMUST00000210728	E9Q557	0
ENSMUST00000101162	Q01705	1
ENSMUST00000208685	P41233	0
ENSMUST00000156345	P45481	1
ENSMUST00000200007	Q09XV5	1
ENSMUST00000223529	B7FAV1	0
ENSMUST00000168137	B2RWS6	1
ENSMUST00000214721	F6XPZ0	0
ENSMUST00000176749	B2RWS6	1
ENSMUST00000229390	Q5DU37	0
ENSMUST00000222438	E9Q557	0
ENSMUST00000148448	B2RWS6	1
ENSMUST00000134801	B2RWS6	1
ENSMUST00000211070	Q01705	1
ENSMUST00000181240	Q01705	1
ENSMUST00000166921	A2AF47	0
ENSMUST00000228095	Q6KCD5-2	0
ENSMUST00000147542	Q01705	1
ENSMUST00000202662	F8VPM9	0
ENSMUST00000233466	Q9ESD7-2	0
ENSMUST00000127920	P45481	1
ENSMUST00000192267	Q09XV5	1
ENSMUST00000208279	Q8C6S9	0
ENSMUST00000180406	B2RWS6	1
ENSMUST00000195039	Q5SS00	0
ENSMUST00000222753	E9QAT4	0
ENSMUST00000203917	B2RWS6	1
ENSMUST00000181772	A3KFM7-2	0
ENSMUST00000202338	P45481	1
ENSMUST00000181200	Q8VBX6	0
ENSMUST00000180411	Q09XV5	1
ENSMUST00000122923	J3QNP0	0
ENSMUST00000059598	V9GX23	0
ENSMUST00000199119	P45481	1
ENSMUST00000192968	B2RWS6	1
ENSMUST00000144745	E9Q7P2	0
ENSMUST00000188984	P45481	1
ENSMUST00000208431	Q61687	1
ENSMUST00000233925	Q9JKK8	0
ENSMUST00000204906	C8YR32	0
ENSMUST00000204638	B2RWS6	1
ENSMUST00000129791	P11881	0
ENSMUST00000196538	B2RWS6	1
ENSMUST00000195837	H7BWZ9	0
ENSMUST00000199951	Q09XV5	1
ENSMUST00000181667	B2RWS6	1
ENSMUST00000181021	Q09XV5	1
ENSMUST00000204397	Q01705	1
ENSMUST00000148064	P45481	1
ENSMUST00000222949	Q8CIZ8	0
ENSMUST00000221985	Q03172	0
ENSMUST00000196517	B2RWS6	1
ENSMUST00000226656	Q8VBX6	0
ENSMUST00000216122	Q6DFZ2	0
ENSMUST00000199690	P45481	1
ENSMUST00000197612	A0A140T8W1	0
ENSMUST00000079279	E9PV66	0
ENSMUST00000236107	Q9ESE1-2	0
ENSMUST00000221603	Q3UHR0	0
ENSMUST00000201398	Q6PNC0	0
ENSMUST00000161614	B2RWS6	1
ENSMUST00000223301	E9Q411	0
ENSMUST00000203287	Q09XV5	1
ENSMUST00000197930	Q3UHL6	0
ENSMUST00000210694	Q99NH0	0
ENSMUST00000194317	B7FAU9	0
ENSMUST00000215946	P11881-2	0
ENSMUST00000204397	P45481	1
ENSMUST00000203845	A0A286YDF5	0
ENSMUST00000185499	Q09XV5	1
ENSMUST00000189763	Q01705	1
ENSMUST00000206678	P60330	0
ENSMUST00000152569	B2RWS6	1
ENSMUST00000181005	B2RWS6	1
ENSMUST00000182109	Q01705	1
ENSMUST00000145338	P11881	0
ENSMUST00000177421	Q01705	1
ENSMUST00000180680	A2AJK6	1
ENSMUST00000176742	A2AJK6	1
ENSMUST00000033651	Q09XV5	1
ENSMUST00000178074	Q3UHQ6	0
ENSMUST00000210076	Q8CIZ8	0
ENSMUST00000191771	P11881-2	0
ENSMUST00000180930	Q01705	1
ENSMUST00000186305	Q9WU42-2	0
ENSMUST00000180751	Q6ZQ93-3	0
ENSMUST00000181774	P45481	1
ENSMUST00000233879	Q9ESD7-2	0
ENSMUST00000159138	Q70FJ1-3	0
ENSMUST00000205941	B2RWS6	1
ENSMUST00000181644	Q09XV5	1
ENSMUST00000185808	Q61982	0
ENSMUST00000090779	Q09XV5	1
ENSMUST00000210728	A0A087WQT9	0
ENSMUST00000209897	Q3UHL6	0
ENSMUST00000201848	A0A1Y7VKR5	0
ENSMUST00000207156	Q6RT24	0
ENSMUST00000156601	B2RWS6	1
ENSMUST00000215772	D3Z3A8	0
ENSMUST00000199378	Q01705	1
ENSMUST00000219499	E9PV66	0
ENSMUST00000195128	P41233	0
ENSMUST00000204808	Q09XV5	1
ENSMUST00000218928	Q80U35	0
ENSMUST00000192845	E9Q7P2	0
ENSMUST00000186297	A3KGI3	0
ENSMUST00000020222	P45481	1
ENSMUST00000205509	V9GX91	0
ENSMUST00000189021	B7FAU9	0
ENSMUST00000226755	A0A087WPR7	0
ENSMUST00000130373	Q6PNC0	0
ENSMUST00000127920	V9GX23	0
ENSMUST00000199893	G3X8Q1	0
ENSMUST00000192251	A0A571BDS5	0
ENSMUST00000024796	Q69ZR2	0
ENSMUST00000212623	Q70FJ1-3	0
ENSMUST00000199761	E9Q7P2	0
ENSMUST00000189021	Q5SUG2	0
ENSMUST00000201542	B2RWS6	1
ENSMUST00000185464	G3UX48	0
ENSMUST00000168978	E9QAT4	0
ENSMUST00000156095	Q01705	1
ENSMUST00000135583	A2AJK6	1
ENSMUST00000163245	B2RWS6	1
ENSMUST00000180386	Q09XV5	1
ENSMUST00000200848	P60330	0
ENSMUST00000195039	Q8BZN6-2	0
ENSMUST00000210666	Q6KCD5-2	0
ENSMUST00000184702	E9PWX8	0
ENSMUST00000125305	F8VPM9	0
ENSMUST00000131675	B2RWS6	1
ENSMUST00000219088	Q99NH0	0
ENSMUST00000211191	A0A1L1SUH6	0
ENSMUST00000181311	B2RWS6	1
ENSMUST00000177130	Q09XV5	1
ENSMUST00000150038	P45481	1
ENSMUST00000156345	Q09XV5	1
ENSMUST00000189646	P45481	1
ENSMUST00000205934	Q09XV5	1
ENSMUST00000205735	P45481	1
ENSMUST00000194246	Q09XV5	1
ENSMUST00000093873	A2AF47	0
ENSMUST00000154810	Q09XV5	1
ENSMUST00000192925	V9GX23	0
ENSMUST00000215913	Q80U35	0
ENSMUST00000137742	B2RWS6	1
ENSMUST00000199654	B2RWS6	1
ENSMUST00000199951	B2RWS6	1
ENSMUST00000207156	F8VPM9	0
ENSMUST00000048965	Q01705	1
ENSMUST00000192257	E9Q202	0
ENSMUST00000238080	A2AF47	0
ENSMUST00000220397	A0A0A0MQG2	0
ENSMUST00000238028	V9GX23	0
ENSMUST00000206208	B2RWS6	1
ENSMUST00000214902	F6RXI4	0
ENSMUST00000226674	A0A1D5RLU3	0
ENSMUST00000194389	Q3UHL6	0
ENSMUST00000193945	B2RWS6	1
ENSMUST00000181029	B2RWS6	1
ENSMUST00000208431	Q09XV5	1
ENSMUST00000180778	Q01705	1
ENSMUST00000192406	Q6ZQ93-2	0
ENSMUST00000143315	B2RWS6	1
ENSMUST00000189207	Q6RT24	0
ENSMUST00000207232	A0A0A0MQG2	0
ENSMUST00000188962	B2RWS6	1
ENSMUST00000181390	A2AJK6	1
ENSMUST00000203836	P45481	1
ENSMUST00000186448	A0A087WQT9	0
ENSMUST00000209774	D3Z3A8	0
ENSMUST00000227597	A2AF47	0
ENSMUST00000090409	P45481	1
ENSMUST00000194389	Q62504-3	0
ENSMUST00000211992	G3UX48	0
ENSMUST00000140203	E9Q526	0
ENSMUST00000149025	E9Q9V3	0
ENSMUST00000194246	B2RWS6	1
ENSMUST00000194155	Q09XV5	1
ENSMUST00000193198	Q9QYC1-2	0
ENSMUST00000198687	P45481	1
ENSMUST00000168978	G3X973	0
ENSMUST00000223245	A0A0A0MQG2	0
ENSMUST00000181085	Q01705	1
ENSMUST00000144818	Q01705	1
ENSMUST00000146124	P41233	0
ENSMUST00000127849	B2RWS6	1
ENSMUST00000143956	Q3UHR0	0
ENSMUST00000180953	P45481	1
ENSMUST00000159138	Q01705	1
ENSMUST00000217680	G3X973	0
ENSMUST00000188747	B2RWS6	1
ENSMUST00000190917	Q09XV5	1
ENSMUST00000062159	B2RWS6	1
ENSMUST00000101007	Q09XV5	1
ENSMUST00000133221	Q01705	1
ENSMUST00000192571	P45481	1
ENSMUST00000181462	Q09XV5	1
ENSMUST00000196377	B2RWS6	1
ENSMUST00000143956	Q8BQM9-2	0
ENSMUST00000155508	B2RWS6	1
ENSMUST00000219320	Q60841	0
ENSMUST00000203985	Q09XV5	1
ENSMUST00000198098	A0A1D5RLU3	0
ENSMUST00000155332	B2RWS6	1
ENSMUST00000215913	A2AGH6	0
ENSMUST00000176721	Q01705	1
ENSMUST00000135583	B2RWS6	1
ENSMUST00000166921	Q4VA61	0
ENSMUST00000181605	E9Q202	0
ENSMUST00000212669	B2RWS6	1
ENSMUST00000181428	B7ZCD1	0
ENSMUST00000200867	O08523	0
ENSMUST00000194341	Q3UHL6	0
ENSMUST00000194549	Q8K284	0
ENSMUST00000180970	P45481	1
ENSMUST00000203260	Q09XV5	0
ENSMUST00000221105	Q62504-3	0
ENSMUST00000203856	Q60841	0
ENSMUST00000189096	B2RWS6	1
ENSMUST00000151538	P45481	1
ENSMUST00000199084	P11881-2	0
ENSMUST00000141810	P45481	1
ENSMUST00000214902	P41233	0
ENSMUST00000138379	Q0KL02-3	0
ENSMUST00000160698	B2RWS6	1
ENSMUST00000209854	A2AF47	0
ENSMUST00000208414	B2RWS6	1
ENSMUST00000134409	Q01705	1
ENSMUST00000223019	E9PV66	0
ENSMUST00000199761	Q6GYP7-2	0
ENSMUST00000221643	A2AIR7	0
ENSMUST00000149206	E9Q1M6	0
ENSMUST00000189845	Q3TLH4	0
ENSMUST00000195879	J3QNP0	0
ENSMUST00000194287	E9Q5W5	0
ENSMUST00000222753	J3QNP0	0
ENSMUST00000180894	B2RWS6	1
ENSMUST00000181214	Q8K4L3	0
ENSMUST00000181438	B2RWS6	1
ENSMUST00000199289	F8VPM9	0
ENSMUST00000180965	Q8BL99-5	0
ENSMUST00000020222	B2RWS6	1
ENSMUST00000222088	F7A4A7-2	0
ENSMUST00000161985	P45481	1
ENSMUST00000145346	B7ZNJ5	0
ENSMUST00000164804	B2RWS6	1
ENSMUST00000128159	F6XPZ0	0
ENSMUST00000192416	Q3UH66-7	0
ENSMUST00000225749	Q3UHL6	0
ENSMUST00000205544	Q09XV5	1
ENSMUST00000123574	B2RWS6	1
ENSMUST00000197413	P41233	0
ENSMUST00000162380	P45481	1
ENSMUST00000207311	E9Q7G0	0
ENSMUST00000227321	E9PV66	0
ENSMUST00000176958	Q8K284	0
ENSMUST00000137742	H9KV15	0
ENSMUST00000195553	Q8C6S9	0
ENSMUST00000163245	P45481	1
ENSMUST00000190974	F8VPM9	0
ENSMUST00000125600	Q01705	1
ENSMUST00000195478	E9Q411	0
ENSMUST00000203784	Q9QX47-3	0
ENSMUST00000136820	B2RWS6	1
ENSMUST00000194704	P97499	0
ENSMUST00000139218	A0A087WPR7	0
ENSMUST00000132487	B2RWS6	1
ENSMUST00000133391	B2RWS6	1
ENSMUST00000144757	B2RWS6	1
ENSMUST00000195462	Q9ESE1-2	0
ENSMUST00000138406	B7ZNJ5	0
ENSMUST00000181852	Q09XV5	1
ENSMUST00000199676	Q8C8R3-2	0
ENSMUST00000231456	J3QNP0	0
ENSMUST00000203927	Q70FJ1-3	0
ENSMUST00000186885	Q91ZI0	0
ENSMUST00000216936	Q03172	0
ENSMUST00000166921	Q8BL99-5	0
ENSMUST00000210728	P45481	1
ENSMUST00000192317	Q80T79-1	0
ENSMUST00000194706	B2RWS6	1
ENSMUST00000181436	Q01705	1
ENSMUST00000197710	J3QNP0	0
ENSMUST00000184493	B2RWS6	1
ENSMUST00000160089	B2RWS6	1
ENSMUST00000160562	Q01705	1
ENSMUST00000202139	Q5SUG2	0
ENSMUST00000181546	Q09XV5	1
ENSMUST00000176958	P42859	0
ENSMUST00000189942	A0A0N4SVX9	0
ENSMUST00000154919	B2RWS6	1
ENSMUST00000180933	Q8BL99-5	0
ENSMUST00000195141	H7BWZ9	0
ENSMUST00000133455	B2RWS6	1
ENSMUST00000187553	P45481	1
ENSMUST00000205735	Q01705	1
ENSMUST00000130634	B2RWS6	1
ENSMUST00000205146	A0A140T8W1	0
ENSMUST00000190332	Q09XV5	1
ENSMUST00000204522	Q01705	1
ENSMUST00000203063	H9KV00	0
ENSMUST00000199389	B2RWS6	1
ENSMUST00000201641	Q09XV5	1
ENSMUST00000221603	E9Q4F7	0
ENSMUST00000160091	G3X973	0
ENSMUST00000148892	B2RWS6	1
ENSMUST00000208671	A0A0A0MQG2	0
ENSMUST00000176742	B2RWS6	1
ENSMUST00000176760	B2RWS6	1
ENSMUST00000193724	C8YR32	0
ENSMUST00000181534	P45481	1
ENSMUST00000160979	B2RWS6	1
ENSMUST00000207739	Q09XV5	1
ENSMUST00000180650	A2AJK6	1
ENSMUST00000181406	Q01705	1
ENSMUST00000194341	B2RWS6	1
ENSMUST00000194930	Q01705	1
ENSMUST00000224218	E9QKK1	0
ENSMUST00000176721	P11881-2	0
ENSMUST00000142833	B2RWS6	1
ENSMUST00000140203	B2RWS6	1
ENSMUST00000138406	Q6RT24	0
ENSMUST00000183235	Q9JL19	0
ENSMUST00000193609	Q80T79-1	0
ENSMUST00000192728	Q8VBX6	0
ENSMUST00000204330	Q01705	1
ENSMUST00000098372	Q3UHL6	0
ENSMUST00000150024	Q69ZR2	0
ENSMUST00000141700	H7BWZ9	0
ENSMUST00000181277	P45481	0
ENSMUST00000180650	Q09XV5	1
ENSMUST00000141035	Q01705	1
ENSMUST00000140826	Q01705	1
ENSMUST00000173978	P45481	1
ENSMUST00000126959	A0A0G2JDZ9	0
ENSMUST00000210674	Q9ESE1-2	0
ENSMUST00000097827	Q01705	1
ENSMUST00000213107	Q8CE72	0
ENSMUST00000181275	Q01705	1
ENSMUST00000035939	Q01705	1
ENSMUST00000214413	Q3TLH4	0
ENSMUST00000161643	B7ZNJ5	0
ENSMUST00000197648	B2RWS6	1
ENSMUST00000166958	Q01705	1
ENSMUST00000224024	Q80T79-1	0
ENSMUST00000215774	V9GX91	0
ENSMUST00000137752	Q80U35	0
ENSMUST00000134436	B2RWS6	1
ENSMUST00000199972	Q01705	1
ENSMUST00000205975	Q8C6S9	0
ENSMUST00000207316	Q09XV5	1
ENSMUST00000199951	F6XPZ0	0
ENSMUST00000211468	G3UX48	0
ENSMUST00000228007	P11881-2	0
ENSMUST00000124676	Q09XV5	1
ENSMUST00000152483	B2RWS6	1
ENSMUST00000228061	E9Q5W5	0
ENSMUST00000143649	P45481	1
ENSMUST00000163627	Q3UHQ6	0
ENSMUST00000131221	Q01705	1
ENSMUST00000194710	Q8BQM9-2	0
ENSMUST00000204405	Q5SUG2	0
ENSMUST00000146779	Q8BZN6-2	0
ENSMUST00000204953	B2RWS6	1
ENSMUST00000222054	E9PUM4	0
ENSMUST00000181200	Q09XV5	1
ENSMUST00000194331	B2RWS6	1
ENSMUST00000192003	P45481	1
ENSMUST00000181066	P45481	1
ENSMUST00000217802	P45481	1
ENSMUST00000207701	E9Q7G0	0
ENSMUST00000135583	Q09XV5	1
ENSMUST00000181631	E9Q7G0	0
ENSMUST00000196621	E9QPR7	0
ENSMUST00000181876	Q01705	1
ENSMUST00000197710	E9Q1M6	0
ENSMUST00000185303	Q09XV5	1
ENSMUST00000227212	Q9JL19	0
ENSMUST00000180791	E9Q4F7	0
ENSMUST00000207723	B2RWS6	1
ENSMUST00000191087	Q5DU37	0
ENSMUST00000156882	B2RWS6	1
ENSMUST00000180690	B2RWS6	1
ENSMUST00000156882	V9GX91	0
ENSMUST00000180404	Q80T79-1	0
ENSMUST00000148405	Q01705	1
ENSMUST00000186531	Q01705	1
ENSMUST00000200427	P42859	0
ENSMUST00000135378	Q01705	1
ENSMUST00000212189	Q5SS00	0
ENSMUST00000101007	P45481	1
ENSMUST00000205157	A0A087WQT9	0
ENSMUST00000210938	E9Q9V3	0
ENSMUST00000133648	Q09XV5	1
ENSMUST00000207644	E9Q447	0
ENSMUST00000180933	Q09XV5	1
ENSMUST00000146581	P45481	1
ENSMUST00000218971	Q4VA61	0
ENSMUST00000132223	Q3TLH4	0
ENSMUST00000181106	B2RWS6	1
ENSMUST00000194944	Q811P8	0
ENSMUST00000197710	Q69ZR2	0
ENSMUST00000192826	Q70FJ1-3	0
ENSMUST00000220739	Q91ZI0	0
ENSMUST00000200461	Q9QYC1-2	0
ENSMUST00000097827	B2RWS6	1
ENSMUST00000180599	Q09XV5	1
ENSMUST00000168990	B2RWS6	1
ENSMUST00000204727	F8VPM9	0
ENSMUST00000137958	Q09XV5	1
ENSMUST00000133648	P45481	1
ENSMUST00000207195	B2RWS6	1
ENSMUST00000182878	Q09XV5	1
ENSMUST00000196040	Q3UHL6	0
ENSMUST00000192389	A0A571BDS5	0
ENSMUST00000135378	J3QNP0	0
ENSMUST00000204049	Q0KL02-3	0
ENSMUST00000208376	B2RWS6	1
ENSMUST00000147449	Q09XV5	1
ENSMUST00000200820	B2RWS6	1
ENSMUST00000169054	E9Q8T1	0
ENSMUST00000140833	Q09XV5	1
ENSMUST00000196434	Q01705	1
ENSMUST00000191720	Q5SUG2	0
ENSMUST00000101371	Q80U35	0
ENSMUST00000144006	Q70FJ1	0
ENSMUST00000131801	Q8K4L3	0
ENSMUST00000192622	G3UX48	0
ENSMUST00000193479	A0A087WPR7	0
ENSMUST00000180875	B2RWS6	1
ENSMUST00000197463	Q01705	1
ENSMUST00000143649	B2RWS6	1
ENSMUST00000196238	Q01705	1
ENSMUST00000128159	F8VPM9	0
ENSMUST00000197066	P45481	1
ENSMUST00000133221	B2RWS6	1
ENSMUST00000156084	B2RWS6	1
ENSMUST00000222732	Q6KCD5-2	0
ENSMUST00000181774	B2RWS6	1
ENSMUST00000134998	Q8C8R3-2	0
ENSMUST00000209973	B1AWL2	0
ENSMUST00000144757	P45481	1
ENSMUST00000188014	F8VPM9	0
ENSMUST00000207963	P45481	1
ENSMUST00000181103	A0A087WPR7	0
ENSMUST00000208685	Q01705	1
ENSMUST00000181206	B2RWS6	1
ENSMUST00000180670	Q01705	1
ENSMUST00000126668	Q09XV5	1
ENSMUST00000224731	E9Q5W5	0
ENSMUST00000151765	Q09XV5	1
ENSMUST00000207134	B2RWS6	1
ENSMUST00000204835	Q91ZI0	0
ENSMUST00000151538	Q3UHR0	0
ENSMUST00000217413	Q91ZI0	0
ENSMUST00000222917	A0A1D5RLV7	0
ENSMUST00000193040	B2RWS6	1
ENSMUST00000216896	Q61315	0
ENSMUST00000231640	A2AJX4	0
ENSMUST00000052189	Q09XV5	1
ENSMUST00000199858	E9Q411	0
ENSMUST00000129578	P97499	0
ENSMUST00000181623	Q61315	0
ENSMUST00000234828	Q3UHR0	0
ENSMUST00000198687	B2RWS6	1
ENSMUST00000150466	A0A1L1SUH6	0
ENSMUST00000162868	E9PWB6	0
ENSMUST00000188273	B2RWS6	1
ENSMUST00000206433	B2RWS6	1
ENSMUST00000173978	Q03172	0
ENSMUST00000145338	P42859	0
ENSMUST00000231456	H9KV15	0
ENSMUST00000221687	Q6V4S5	0
ENSMUST00000185169	B2RWS6	1
ENSMUST00000208060	B7FAV1	0
ENSMUST00000148699	Q09XV5	1
ENSMUST00000198482	B2RWS6	1
ENSMUST00000181874	Q3UHR0	0
ENSMUST00000222398	E9QAT4	0
ENSMUST00000142871	B2RWS6	1
ENSMUST00000192325	Q5DU37	0
ENSMUST00000224071	P60330	0
ENSMUST00000134627	B2RWS6	1
ENSMUST00000207572	Q09XV5	1
ENSMUST00000205146	Q6ZQ93-3	0
ENSMUST00000239444	B2RWS6	1
ENSMUST00000147504	P45481	1
ENSMUST00000071101	B2RWS6	1
ENSMUST00000208140	Q09XV5	1
ENSMUST00000153659	B2RWS6	1
ENSMUST00000130486	Q09XV5	1
ENSMUST00000190663	P41233	0
ENSMUST00000124643	P45481	1
ENSMUST00000139140	O08523	0
ENSMUST00000194155	Q01705	1
ENSMUST00000228809	Q6ZQ93-2	0
ENSMUST00000180527	Q09XV5	1
ENSMUST00000233085	P42859	0
ENSMUST00000180796	G3X973	0
ENSMUST00000192560	B2RWS6	1
ENSMUST00000168625	Q03172	0
ENSMUST00000097982	A2AF47	0
ENSMUST00000146034	E9Q5W5	0
ENSMUST00000194930	B2RWS6	1
ENSMUST00000132389	P45481	1
ENSMUST00000155332	P45481	1
ENSMUST00000200266	V9GX23	0
ENSMUST00000195193	P45481	1
ENSMUST00000194017	P60330	0
ENSMUST00000194243	E9Q4F7	0
ENSMUST00000224003	P11881-2	0
ENSMUST00000144105	Q01705	1
ENSMUST00000196766	Q09XV5	1
ENSMUST00000197639	B2RWS6	1
ENSMUST00000153937	A0A087WPR7	0
ENSMUST00000181299	O08523	0
ENSMUST00000152569	A0A571BDS5	0
ENSMUST00000199945	G3UX48	0
ENSMUST00000180680	Q01705	1
ENSMUST00000193479	Q62504-3	0
ENSMUST00000195518	Q6ZQ93-2	0
ENSMUST00000203974	Q70FJ1	0
ENSMUST00000193499	Q09XV5	1
ENSMUST00000224218	A0A087WQT9	0
ENSMUST00000181912	G3UX48	0
ENSMUST00000189942	Q09XV5	1
ENSMUST00000097448	Q3UH66-7	0
ENSMUST00000195908	B2RWS6	1
ENSMUST00000143346	P41233	0
ENSMUST00000197594	B2RWS6	1
ENSMUST00000031305	Q01705	1
ENSMUST00000187121	B2RWS6	1
ENSMUST00000180488	Q01705	1
ENSMUST00000131851	Q09XV5	1
ENSMUST00000192003	Q09XV5	1
ENSMUST00000181229	A2AF47	0
ENSMUST00000185351	Q09XV5	1
ENSMUST00000199378	C8YR32	0
ENSMUST00000180100	Q8C8R3-2	0
ENSMUST00000181803	B2RWS6	1
ENSMUST00000143428	B2RWS6	1
ENSMUST00000198390	E9QKK1	0
ENSMUST00000163627	Q80T79-1	0
ENSMUST00000142067	Q3UHL6	0
ENSMUST00000123574	A0A087WPR7	0
ENSMUST00000201142	Q9QYC1-2	0
ENSMUST00000200007	B2RWS6	1
ENSMUST00000199972	B2RWS6	1
ENSMUST00000187677	B2RWS6	1
ENSMUST00000127564	Q01705	1
ENSMUST00000193516	Q8C6S9	0
ENSMUST00000190974	P45481	1
ENSMUST00000181851	Q8BZN6-2	0
ENSMUST00000189296	P45481	1
ENSMUST00000206433	E9QAQ8	0
ENSMUST00000151391	B2RWS6	1
ENSMUST00000180778	B7FAV1	0
ENSMUST00000131501	Q9WU42-2	0
ENSMUST00000220946	S4R2F3	0
ENSMUST00000143732	Q09XV5	1
ENSMUST00000211251	A2AF47	0
ENSMUST00000180875	Q01705	1
ENSMUST00000181414	Q09XV5	1
ENSMUST00000141700	B2RWS6	1
ENSMUST00000160979	Q01705	1
ENSMUST00000208140	B2RWS6	1
ENSMUST00000192660	E9QPR7	0
ENSMUST00000193264	Q3UHQ6	0
ENSMUST00000127115	B2RWS6	1
ENSMUST00000165680	E9PWX8	0
ENSMUST00000197507	G3UX48	0
ENSMUST00000231018	B7ZCD1	0
ENSMUST00000198310	A2AF47	0
ENSMUST00000190732	P97499	0
ENSMUST00000177146	Q80T79-1	0
ENSMUST00000202553	A0A087WQT9	0
ENSMUST00000149914	P60330	0
ENSMUST00000183339	A0A0G2JDZ9	0
ENSMUST00000181592	B2RWS6	1
ENSMUST00000197967	Q9JL19	0
ENSMUST00000138288	Q01705	1
