RNA	protein	label
ENSMUST00000190129	E9QL22	0
ENSMUST00000029642	P97503	1
ENSMUST00000128292	Q921N8	1
ENSMUST00000065469	Q75N73	0
ENSMUST00000143605	P37238	1
ENSMUST00000181405	O09106	1
ENSMUST00000159874	D6REF2	0
ENSMUST00000169981	P22091	1
ENSMUST00000139874	Q6PDQ2	1
ENSMUST00000155845	P12979	1
ENSMUST00000192139	Q2TJJ8	0
ENSMUST00000223617	Q80XC3-2	0
ENSMUST00000203191	Q3UV55	1
ENSMUST00000061899	P22091	1
ENSMUST00000203902	Q3TKT4	1
ENSMUST00000181458	P48281	1
ENSMUST00000193871	A0A0A6YWY4	0
ENSMUST00000188938	Q8VFP6	0
ENSMUST00000130630	Q9JKN1	0
ENSMUST00000200150	O70343	1
ENSMUST00000147847	P29037	1
ENSMUST00000124055	E9Q7T3	0
ENSMUST00000146334	P97436	1
ENSMUST00000134541	Q3UV55	1
ENSMUST00000227033	A0A3B2W8B4	0
ENSMUST00000211285	Q9CPX5-2	0
ENSMUST00000239366	Q5ICG5	0
ENSMUST00000202487	Q61164	1
ENSMUST00000200602	P28700	1
ENSMUST00000220276	Q9JIF7	0
ENSMUST00000140881	P47930	1
ENSMUST00000208416	P12979	1
ENSMUST00000099647	A0A494BA35	0
ENSMUST00000199632	P35582	1
ENSMUST00000187473	A0A0A6YWM7	0
ENSMUST00000155499	O70309-2	0
ENSMUST00000137176	Q61191	1
ENSMUST00000192813	H3BIW0	0
ENSMUST00000159213	Q8K2Z8	0
ENSMUST00000194463	Q3UV55	1
ENSMUST00000143593	E9Q7K7	0
ENSMUST00000201009	Q8VF89	0
ENSMUST00000218063	Q9JJX7	0
ENSMUST00000181267	A0A0G2JDP8	0
ENSMUST00000197835	Q6J1H4	1
ENSMUST00000208595	P46684	1
ENSMUST00000181547	P28700	1
ENSMUST00000198681	O08747	0
ENSMUST00000199065	P70284	1
ENSMUST00000148136	P35583	1
ENSMUST00000146334	P51960	1
ENSMUST00000196660	Q01147	1
ENSMUST00000194955	F6TQN1	0
ENSMUST00000142151	Q8VDK3	1
ENSMUST00000190040	Q9R1E0	1
ENSMUST00000207056	P19426	1
ENSMUST00000151967	Q61550	1
ENSMUST00000202184	P35583	1
ENSMUST00000206423	Q00322	1
ENSMUST00000180698	P15066	1
ENSMUST00000190830	Q64287	1
ENSMUST00000203799	P26323	1
ENSMUST00000122969	Q60980	1
ENSMUST00000220632	P48299	0
ENSMUST00000135792	Q9JKD8	1
ENSMUST00000196190	Q9R1E0	1
ENSMUST00000207374	Q3UC65-2	0
ENSMUST00000231947	F6RK81	0
ENSMUST00000190203	E9Q0B9	0
ENSMUST00000143836	Q61595	0
ENSMUST00000132326	E9QP36	0
ENSMUST00000143025	Q3UV55	1
ENSMUST00000217888	Q61043-4	0
ENSMUST00000134552	Q04207	1
ENSMUST00000199488	Q99MJ9	0
ENSMUST00000199589	Q64739-4	0
ENSMUST00000194266	Q8K2Z2	0
ENSMUST00000228424	F6TCF9	0
ENSMUST00000208274	O09100	1
ENSMUST00000224929	J3QPK8	0
ENSMUST00000187099	O70546	1
ENSMUST00000192777	P17679	1
ENSMUST00000065731	Q7TR35	0
ENSMUST00000199799	P70314	1
ENSMUST00000153228	P06537	1
ENSMUST00000148598	P42232	1
ENSMUST00000146094	P46684	1
ENSMUST00000220682	Q91VZ6	0
ENSMUST00000129675	P35583	1
ENSMUST00000137136	P16951	1
ENSMUST00000191190	P62821	0
ENSMUST00000181563	P97436	1
ENSMUST00000196994	A0A0R4J212	0
ENSMUST00000132986	Q02067	1
ENSMUST00000149413	Q01147	1
ENSMUST00000144026	P70314	1
ENSMUST00000193131	Q61164	1
ENSMUST00000237102	Q62210	0
ENSMUST00000192978	E9PZJ7	0
ENSMUST00000126385	Q6TXD4-2	0
ENSMUST00000097699	A0A3B2W7J8	0
ENSMUST00000130416	B2RQ20	0
ENSMUST00000136218	P41778	1
ENSMUST00000150145	Q61880	1
ENSMUST00000137882	P23708	1
ENSMUST00000225984	F8WGE3	0
ENSMUST00000122806	P42230	1
ENSMUST00000185439	Q921N8	1
ENSMUST00000142353	Q6P5D3-2	0
ENSMUST00000224440	Q9D5K4-5	0
ENSMUST00000187133	A2API3	0
ENSMUST00000141000	A0A3B2WB97	0
ENSMUST00000198148	Q80VM8	0
ENSMUST00000202607	P70326	1
ENSMUST00000195328	P62821	0
ENSMUST00000200047	Q8CIZ9	0
ENSMUST00000180505	P11416	1
ENSMUST00000141032	P28033	1
ENSMUST00000129410	A2A7F6	0
ENSMUST00000174039	Q8BIZ1-2	0
ENSMUST00000204442	Q3UNH6	0
ENSMUST00000204889	Q8K4T1	0
ENSMUST00000152576	P35762	0
ENSMUST00000192162	P54728	1
ENSMUST00000193285	Q61550	1
ENSMUST00000186355	Q80YQ2	0
ENSMUST00000237777	A0A0G2JGY6	0
ENSMUST00000196896	P22605	1
ENSMUST00000124609	O35914	0
ENSMUST00000098828	O70126	1
ENSMUST00000224802	G3UYN0	0
ENSMUST00000196947	P17433	1
ENSMUST00000144634	A0A2I3BR30	0
ENSMUST00000187731	Q8VGP9	0
ENSMUST00000198458	Q8CAQ8-5	0
ENSMUST00000139214	P37238	1
ENSMUST00000156195	P22091	1
ENSMUST00000189033	Q9CWR8	1
ENSMUST00000186240	Q9D997	0
ENSMUST00000191594	P97503	1
ENSMUST00000180567	Q6PFX8	0
ENSMUST00000124620	Q6PDQ2	1
ENSMUST00000192526	Q60771	0
ENSMUST00000125829	Q06507	1
ENSMUST00000194805	P35922-9	0
ENSMUST00000234112	G3UWE1	0
ENSMUST00000200306	P48432	1
ENSMUST00000180937	Q60929	1
ENSMUST00000206944	Q921N8	1
ENSMUST00000194643	E9Q9A9	0
ENSMUST00000238044	F6U2C2	0
ENSMUST00000128807	Q8C796	1
ENSMUST00000198136	Q02248	1
ENSMUST00000155349	P10085	1
ENSMUST00000135700	Q8BGD5	0
ENSMUST00000205099	Q9D2L1	0
ENSMUST00000199219	P20263	1
ENSMUST00000138626	Q9Z0Z7	1
ENSMUST00000209080	Q91Y44	1
ENSMUST00000203231	P97436	1
ENSMUST00000208699	P01101	1
ENSMUST00000194793	P51612	0
ENSMUST00000135438	P97503	1
ENSMUST00000202548	P15066	1
ENSMUST00000181713	Q60954	1
ENSMUST00000199507	O54839	1
ENSMUST00000188155	P16951	0
ENSMUST00000124555	P20263	1
ENSMUST00000222557	O55137	0
ENSMUST00000229204	Q99N28	0
ENSMUST00000203289	A0A2I3BRX0	0
ENSMUST00000226049	P12791	0
ENSMUST00000156947	Q6NZF1	1
ENSMUST00000136218	P22605	1
ENSMUST00000207402	Q9JM73	1
ENSMUST00000185637	Q61169	1
ENSMUST00000181076	P29037	1
ENSMUST00000136472	Q9D6Y1	0
ENSMUST00000164716	P62915	1
ENSMUST00000162558	D3Z5R0	0
ENSMUST00000197564	Q3URY0	0
ENSMUST00000174884	Q6J1H4	1
ENSMUST00000098532	Q9JI58	0
ENSMUST00000195831	P51960	1
ENSMUST00000225603	Q8VEB3	0
ENSMUST00000148568	Q7TRX9	0
ENSMUST00000193799	A0A668KM45	0
ENSMUST00000206663	E9PZJ8-2	0
ENSMUST00000176275	D3YWB9	0
ENSMUST00000212945	Q8R2A7	0
ENSMUST00000181794	O35185	1
ENSMUST00000159271	P10085	1
ENSMUST00000216606	Q8R4E6	0
ENSMUST00000151051	P09633	1
ENSMUST00000204663	O54965	0
ENSMUST00000196357	Q9WVH4	1
ENSMUST00000151696	Q80XU3	0
ENSMUST00000180495	K7N5U4	0
ENSMUST00000170636	Q00175	1
ENSMUST00000166606	A2AU34	0
ENSMUST00000143887	D3YYY2	0
ENSMUST00000193032	Q9WUD6	0
ENSMUST00000141149	P54728	1
ENSMUST00000193913	Q99NE5-4	0
ENSMUST00000209535	E9Q9S3	0
ENSMUST00000152599	Q80Y83-14	0
ENSMUST00000194642	P46684	1
ENSMUST00000209412	Q91VL8	1
ENSMUST00000132849	P31266	1
ENSMUST00000153795	Q91Y44	1
ENSMUST00000236393	A0A087WRF5	0
ENSMUST00000209936	O54836	0
ENSMUST00000181685	P06537	1
ENSMUST00000236295	P70665-2	0
ENSMUST00000155504	Q3V1T4-2	0
ENSMUST00000225073	P05622	0
ENSMUST00000154848	Q9D3R9	1
ENSMUST00000184530	Q8R1K1	0
ENSMUST00000235070	Q02395-2	0
ENSMUST00000195351	Q8CFE4	0
ENSMUST00000201477	P22605	1
ENSMUST00000192586	P15066	1
ENSMUST00000231907	E9PVJ9	0
ENSMUST00000159767	Q04207	1
ENSMUST00000181536	P51960	1
ENSMUST00000142804	Q8C6K9-2	0
ENSMUST00000198885	A0A1B0GSE3	0
ENSMUST00000182590	P37242	1
ENSMUST00000150171	Q08874	1
ENSMUST00000176972	Q60929	1
ENSMUST00000131864	Q02248	1
ENSMUST00000191643	E9Q9J6	0
ENSMUST00000149367	P70372	1
ENSMUST00000152025	Q04207	1
ENSMUST00000216282	Q8BW88-4	0
ENSMUST00000192843	Q9EQB9	0
ENSMUST00000162784	P05627	1
ENSMUST00000205660	Q9JIL6	0
ENSMUST00000172547	Q6TCG8	0
ENSMUST00000161914	Q811L6-2	0
ENSMUST00000194267	Q61473	1
ENSMUST00000143302	Q8R173	0
ENSMUST00000220694	F6QMB7	0
ENSMUST00000173609	P42230	1
ENSMUST00000199962	Q64287	1
ENSMUST00000125829	P52633	1
ENSMUST00000189056	E9PWX7	0
ENSMUST00000185485	A0A571BEM4	0
ENSMUST00000192234	Q9R1E0	1
ENSMUST00000150181	Q6J1H4	1
ENSMUST00000146404	O35185	1
ENSMUST00000184823	Q99JX1	0
ENSMUST00000228599	Q80VY2-2	0
ENSMUST00000146754	A2AG22	0
ENSMUST00000192162	P50540	1
ENSMUST00000188654	Q9R1G6	0
ENSMUST00000236646	A0A1W2P734	0
ENSMUST00000238226	Q9DAK2	0
ENSMUST00000147847	Q91ZW3	1
ENSMUST00000134992	Q6J1H4	1
ENSMUST00000142310	Q61550	1
ENSMUST00000130205	Q07802	1
ENSMUST00000206863	Q9JHD2	1
ENSMUST00000198159	Q8VIG1	1
ENSMUST00000050989	I7HPW4	0
ENSMUST00000195028	O09100	1
ENSMUST00000194001	Q62318	1
ENSMUST00000181654	Q9CU62	1
ENSMUST00000175891	H9KV07	0
ENSMUST00000207268	Q8BIF9	0
ENSMUST00000182737	A2API3	0
ENSMUST00000140421	P17433	1
ENSMUST00000135857	Q62141	1
ENSMUST00000138236	Q8BVJ7	0
ENSMUST00000214606	Q00690	0
ENSMUST00000145372	P20263	1
ENSMUST00000217797	A0A0N4SVL9	0
ENSMUST00000123420	Q6PDQ2	1
ENSMUST00000065469	A0A0J9YVI1	0
ENSMUST00000134250	Q61450	0
ENSMUST00000141307	Q04207	1
ENSMUST00000197532	Q8CGR5	0
ENSMUST00000132692	P09633	1
ENSMUST00000199348	P29037	1
ENSMUST00000237731	P15037	1
ENSMUST00000230714	Q8C8Z9	0
ENSMUST00000197297	P50220	1
ENSMUST00000188623	Q6PDQ2	1
ENSMUST00000204219	Q60793	1
ENSMUST00000069573	Q9JI20	0
ENSMUST00000229977	Q61990-2	0
ENSMUST00000210109	Q80ZW1	0
ENSMUST00000128681	A0A0A6YW30	0
ENSMUST00000193691	Q6PGA2	0
ENSMUST00000193865	A2AT93	0
ENSMUST00000211194	Q5SUD9	0
ENSMUST00000110860	P47930	1
ENSMUST00000186106	Q6NZF1	1
ENSMUST00000218852	F6VYE2	0
ENSMUST00000187361	Q6NZA9	1
ENSMUST00000181488	Q04207	1
ENSMUST00000190299	D3Z0E6	0
ENSMUST00000135990	Q925J9	1
ENSMUST00000184724	Q00175	1
ENSMUST00000231875	A0A494B9Q9	0
ENSMUST00000207099	Q5SUD9	0
ENSMUST00000224717	P51791-2	0
ENSMUST00000180567	A0A571BEW5	0
ENSMUST00000128235	Q9Z0Z7	1
ENSMUST00000234827	E9PUE8	0
ENSMUST00000185946	Q3TET1	0
ENSMUST00000193310	A2ALL3	0
ENSMUST00000155111	P42682-2	0
ENSMUST00000180533	P19785	1
ENSMUST00000210068	Q9JIS8	0
ENSMUST00000180735	P05627	1
ENSMUST00000131642	Q8BGF6	0
ENSMUST00000141511	P22605	1
ENSMUST00000200347	P59941	1
ENSMUST00000159407	P11416	1
ENSMUST00000180371	P59672-2	0
ENSMUST00000167900	Q3UNH6	0
ENSMUST00000231344	Q71S44	0
ENSMUST00000146550	Q9D3E6	1
ENSMUST00000136472	Q6ZPV2	1
ENSMUST00000129713	O09106	1
ENSMUST00000187731	Q99J21	0
ENSMUST00000131093	Q8CJG0	1
ENSMUST00000123258	Q3UV55	1
ENSMUST00000204123	Q99MA9	1
ENSMUST00000226570	Q9D259	0
ENSMUST00000180967	P42225	1
ENSMUST00000181898	A6PWV3	0
ENSMUST00000224910	F6YZH6	0
ENSMUST00000204264	O88509-2	0
ENSMUST00000229862	Q9EQM5	0
ENSMUST00000162239	Q61191	1
ENSMUST00000188623	Q8BHC0	0
ENSMUST00000191474	O35185	1
ENSMUST00000190463	Q9D3R9	1
ENSMUST00000220958	Q8K3V7-2	0
ENSMUST00000187225	Q8VGI9	0
ENSMUST00000131997	Q3U3D7	0
ENSMUST00000204469	P26323	1
ENSMUST00000180853	Q60980	1
ENSMUST00000166637	P70353	1
ENSMUST00000193999	B2RX47	0
ENSMUST00000195769	E9Q7T0	0
ENSMUST00000133867	Q61595-8	0
ENSMUST00000193034	P19785	1
ENSMUST00000181479	P08775	1
ENSMUST00000193544	Q61550	1
ENSMUST00000127697	O54839	1
ENSMUST00000233076	Q8VCU1-2	0
ENSMUST00000153675	Q64131	1
ENSMUST00000155046	P25799	1
ENSMUST00000188031	Q8C0M9	0
ENSMUST00000159897	Q64287	1
ENSMUST00000139592	P53566	1
ENSMUST00000065469	P51791-5	0
ENSMUST00000123949	P46684	1
ENSMUST00000181124	Q9Z0Z7	1
ENSMUST00000187332	P15806	1
ENSMUST00000133643	G5E8K5-3	0
ENSMUST00000215132	F6Z2C0	0
ENSMUST00000174338	P97503	1
ENSMUST00000181282	Q64249	1
ENSMUST00000131080	Q8VFK4	0
ENSMUST00000215599	Q80W69-2	0
ENSMUST00000155211	Q9JKK1	0
ENSMUST00000152737	P10085	1
ENSMUST00000196313	Q5NCY0	1
ENSMUST00000221792	Q68FF0	0
ENSMUST00000151825	O09106	1
ENSMUST00000216878	D3YY33	0
ENSMUST00000230781	Q8K299-2	0
ENSMUST00000188502	Q9CQJ4	1
ENSMUST00000187731	O54998	0
ENSMUST00000185409	O88587	0
ENSMUST00000189166	Q80YY7	0
ENSMUST00000211580	A2A9T0	0
ENSMUST00000181142	P35583	1
ENSMUST00000196486	P55849	0
ENSMUST00000232296	Q9D035	0
ENSMUST00000194485	E9PZB6	0
ENSMUST00000200403	P29037	1
ENSMUST00000199268	P01108	1
ENSMUST00000190230	Q3URI3	0
ENSMUST00000196063	G3X905	0
ENSMUST00000222996	A2AL50	0
ENSMUST00000144649	Q9JHD2	1
ENSMUST00000199836	Q9WTP3	0
ENSMUST00000205302	P70314	1
ENSMUST00000174821	Q8VEW2	0
ENSMUST00000197317	Q6J1H4	1
ENSMUST00000232518	Q6NZI9	0
ENSMUST00000220752	O08532	0
ENSMUST00000205469	K7N727	0
ENSMUST00000133496	O70546	1
ENSMUST00000162520	Q6PDQ2	1
ENSMUST00000192586	Q9D3E6	1
ENSMUST00000230113	E9QPM7	0
ENSMUST00000208353	P11087-2	0
ENSMUST00000197707	A2A9I7	1
ENSMUST00000239265	A0A1Y7VJQ6	0
ENSMUST00000189587	Q3UC65	0
ENSMUST00000128521	H3BLG3	0
ENSMUST00000126240	A0A1Y7VNH4	0
ENSMUST00000196382	P28700	1
ENSMUST00000206025	Q60929	1
ENSMUST00000137802	P09450	1
ENSMUST00000222210	Q9WTP3	0
ENSMUST00000131146	P15314	1
ENSMUST00000192879	Q60644	1
ENSMUST00000141710	Q5NCY0	1
ENSMUST00000144765	B1ASL3	0
ENSMUST00000193259	E9Q9Z9	0
ENSMUST00000199794	Q00422	1
ENSMUST00000153599	P41778	1
ENSMUST00000177104	P09450	1
ENSMUST00000144420	Q61771	0
ENSMUST00000208323	P06537	1
ENSMUST00000210588	Q9JJ48	0
ENSMUST00000217855	Q91ZU6-6	0
ENSMUST00000195303	P46684	1
ENSMUST00000188024	P28661-3	0
ENSMUST00000143391	I7HPX2	0
ENSMUST00000224181	Q3U381	0
ENSMUST00000187067	Q62318	1
ENSMUST00000227521	Q8BUN9-3	0
ENSMUST00000123441	Q9CQJ4	1
ENSMUST00000234607	Q7TR49	0
ENSMUST00000188465	F7BTY2	0
ENSMUST00000107628	Q9Z0S1	0
ENSMUST00000126294	Q08369	1
ENSMUST00000196302	Q8BHB3	0
ENSMUST00000181654	Q6J1H4	1
ENSMUST00000215356	Q6NXI6	0
ENSMUST00000165200	O09100	1
ENSMUST00000191992	F6VIB5	0
ENSMUST00000146766	Q61501	1
ENSMUST00000143064	P23506-2	0
ENSMUST00000231533	E9Q3R9	0
ENSMUST00000198882	Q61473	1
ENSMUST00000193021	Q3U1J4	0
ENSMUST00000181600	P19785	1
ENSMUST00000208320	Q00175	1
ENSMUST00000147653	G3X8U8	0
ENSMUST00000126642	Q8R0K9	1
ENSMUST00000168470	P15306	0
ENSMUST00000220632	E9QJU8	0
ENSMUST00000194275	A0A6I8MX07	0
ENSMUST00000181146	P42128	1
ENSMUST00000183413	Q56A08	0
ENSMUST00000153791	A0A3Q4EG57	0
ENSMUST00000033963	Q9EPS4	0
ENSMUST00000066038	Q61473	1
ENSMUST00000198232	P28700	1
ENSMUST00000188826	Q9WUF2	0
ENSMUST00000209053	P09450	1
ENSMUST00000234800	Q8BLF2-6	0
ENSMUST00000196851	Q62318	1
ENSMUST00000209850	Q62141	1
ENSMUST00000147678	P28033	1
ENSMUST00000190683	Q922B9-3	0
ENSMUST00000192375	O35185	1
ENSMUST00000135564	P42227	1
ENSMUST00000139025	P54103	1
ENSMUST00000211653	Q5NBV0	0
ENSMUST00000149065	O54839	1
ENSMUST00000193848	A0A0R4J0V1	0
ENSMUST00000204101	P52633	1
ENSMUST00000173840	B9EJU1	0
ENSMUST00000191134	P28700	1
ENSMUST00000130004	P21952	1
ENSMUST00000194583	P28033	1
ENSMUST00000181315	D3Z643	0
ENSMUST00000200494	Q921N8	1
ENSMUST00000226933	Q9JI76	0
ENSMUST00000206961	Q3TVC7-2	0
ENSMUST00000164075	O70477	1
ENSMUST00000180663	Q5SVI9	0
ENSMUST00000228742	Q6P1Y1	0
ENSMUST00000129645	P25911-2	0
ENSMUST00000138259	Q8CF89	0
ENSMUST00000177262	Q9Z148	1
ENSMUST00000148607	Q8R262	0
ENSMUST00000123258	Q91Y44	1
ENSMUST00000181731	A2AJ14	0
ENSMUST00000204662	E9PVJ3	0
ENSMUST00000188872	P48985	1
ENSMUST00000129207	Q7TR49	0
ENSMUST00000160958	Q9D5N8	0
ENSMUST00000125609	Q5M8M2	0
ENSMUST00000133451	Q5NCY0	1
ENSMUST00000193096	Q5SVI9	0
ENSMUST00000197247	Q61646	0
ENSMUST00000118575	Q60954	1
ENSMUST00000222826	P58771-2	0
ENSMUST00000199117	A2AWM0	0
ENSMUST00000174756	P19785	1
ENSMUST00000141786	P70699	0
ENSMUST00000206788	A0A1W2P7F1	0
ENSMUST00000156311	Q61550	1
ENSMUST00000203570	Q9CU62	1
ENSMUST00000210140	Q5DQR4	0
ENSMUST00000130054	O88974	1
ENSMUST00000207413	Q9JI57-8	0
ENSMUST00000146690	Q62232	1
ENSMUST00000200632	P34056	1
ENSMUST00000222557	O35949	0
ENSMUST00000209073	E0CZ42	0
ENSMUST00000155528	Q91W86	0
ENSMUST00000190951	P49698-2	0
ENSMUST00000127263	P46684	1
ENSMUST00000181575	P26323	1
ENSMUST00000189767	P43241	1
ENSMUST00000191453	P27577	1
ENSMUST00000200047	Q04207	1
ENSMUST00000208121	Q9QZU3	0
ENSMUST00000192794	Q9CQ73	0
ENSMUST00000215132	Q9WV27	0
ENSMUST00000189302	Q64249	1
ENSMUST00000032900	P70314	1
